placement_id,candidate_id,placement_status,time_to_hire_days,offered_salary_gbp,offer_accepted,client_satisfaction_score,rehire_likelihood,placement_fee_gbp,estimated_fee_value_gbp,interview_rounds,hiring_manager,recruiter_assigned,client_company,client_industry,role_title,contract_type,placement_region,start_date,end_date,probation_outcome,performance_rating,invoice_status,replacement_required
92719110,6572141,completed,42,80500,pending,10,yes,10,8050,3,Claire Robinson,James Wilson,Foyle Secure Networks,Energy,UX Designer,permanent,Wales,2024-02-05,2024-05-17,not applicable,10,paid,no
44576778,6488339,on probation,31,40500,yes,6,maybe,15,6075,2,Sanjay Rao,Amira Khan,MetroGov Digital,Energy,IoT Security Engineer,contract,Scotland,2024-10-04,,not applicable,,not invoiced,no
87844874,3910874,active,25,33500,yes,7,maybe,13,4355,3,Patrick Murphy,Sean O'Donnell,Aster Cloud Systems,Financial Services,Cybersecurity Analyst,contract,Northern Ireland,2023-05-02,,not applicable,5,paid,no
80044045,3389551,terminated,42,62500,yes,3,no,14,8750,3,Robert Lewis,Megan Campbell,Nimbus Cyber Defence,Energy,Finance Analyst,fixed-term,Scotland,2025-08-16,2026-04-10,not applicable,2,paid,yes
13183002,8688429,active,36,26000,yes,7,maybe,12,3120,2,Robert Lewis,James Wilson,GreenGrid Energy,Public Sector,Marketing Analyst,permanent,Remote,2024-12-28,,not applicable,7,paid,no
16963613,1920871,extended contract,37,35500,yes,10,yes,17,6035,2,Patrick Murphy,Thomas Wright,Orion Telecom,Healthcare,Data Engineer,permanent,Northern Ireland,2023-03-03,2024-09-29,failed,10,partially paid,no
50208806,7393366,active,32,46000,yes,8,maybe,18,8280,1,Emma Collins,Amira Khan,Pioneer Manufacturing,Manufacturing,UX Designer,contract,Scotland,2023-12-21,,not applicable,9,paid,no
25708597,5113186,active,19,44000,yes,5,no,20,8800,3,Claire Robinson,Naomi Patel,Foyle Secure Networks,Telecommunications,AI Research Engineer,permanent,Republic of Ireland,2024-08-22,,not applicable,5,paid,no
75108412,9124138,terminated,48,102000,yes,3,no,16,16320,3,Claire Robinson,Priya Nair,Vertex Retail Solutions,Cybersecurity,Machine Learning Engineer,temp-to-perm,England,2024-03-08,2024-07-20,passed,3,paid,yes
42281028,8087691,on probation,32,60500,yes,5,no,19,11495,4,Robert Lewis,Priya Nair,Silverline Payments,Telecommunications,IoT Security Engineer,permanent,Scotland,2025-06-07,,extended,,pending,no
13647940,2565104,terminated,20,44000,yes,6,maybe,15,6600,2,Sanjay Rao,Sean O'Donnell,Aster Cloud Systems,Financial Services,Software Engineer,fixed-term,Wales,2025-12-05,2026-05-14,failed,4,paid,no
28264521,4397277,active,48,37500,yes,10,maybe,18,6750,1,Emma Collins,Grace Mitchell,Summit Learning Tech,Retail,Business Analyst,permanent,England,2025-08-03,,not applicable,10,paid,no
92313691,4065022,active,17,44000,yes,10,yes,20,8800,2,Hannah Foster,Sean O'Donnell,Summit Learning Tech,Logistics,AI Research Engineer,permanent,Republic of Ireland,2023-12-07,,not applicable,10,paid,no
76499046,9894295,on probation,28,100000,yes,8,yes,20,20000,1,Oliver Green,Grace Mitchell,Nimbus Cyber Defence,Telecommunications,AI Research Engineer,contract,Republic of Ireland,2024-02-10,,passed,,partially paid,no
58681447,7095266,terminated,28,98500,yes,4,maybe,19,18715,3,Laura Bennett,James Wilson,MetroGov Digital,Education,AI Research Engineer,permanent,Republic of Ireland,2024-07-02,2025-06-22,passed,4,paid,yes
63602793,5592762,active,33,59500,yes,6,maybe,10,5950,1,Sanjay Rao,Daniel Hughes,BrightPath Software,Retail,Frontend Developer,permanent,Scotland,2024-01-08,,not applicable,4,pending,no
17268859,9250634,terminated,27,41000,yes,6,yes,10,4100,3,Sanjay Rao,Thomas Wright,Pioneer Manufacturing,Retail,IoT Security Engineer,contract,Wales,2026-03-09,2027-05-21,not applicable,4,not invoiced,no
76583048,2256403,active,48,56500,yes,7,yes,11,6215,4,Michael Turner,Daniel Hughes,Nimbus Cyber Defence,Public Sector,Machine Learning Engineer,contract,Remote,2023-09-19,,not applicable,6,paid,no
70856849,5172922,extended contract,35,29500,yes,7,maybe,17,5015,2,Hannah Foster,Thomas Wright,NorthBridge Analytics,Retail,Full Stack Developer,contract,Scotland,2025-08-26,2027-03-22,passed,7,paid,no
39575708,5877442,active,36,27500,yes,7,maybe,12,3300,4,Robert Lewis,Naomi Patel,Redstone AI,Financial Services,Marketing Analyst,permanent,Republic of Ireland,2023-05-30,,not applicable,5,paid,no
59842730,8485152,active,41,36000,yes,7,maybe,19,6840,2,Hannah Foster,Daniel Hughes,BrightPath Software,Retail,IoT Security Engineer,fixed-term,Remote,2025-05-23,,not applicable,6,paid,no
13871277,7922180,completed,50,83000,yes,8,yes,18,14940,4,Emma Collins,Thomas Wright,GreenGrid Energy,Technology,Cloud Engineer,permanent,Remote,2023-03-17,2023-12-12,passed,9,pending,no
41867441,7689251,active,60,51500,yes,10,yes,15,7725,4,Michael Turner,Thomas Wright,Summit Learning Tech,Consulting,Database Administrator,permanent,Scotland,2023-09-26,,not applicable,8,paid,no
75151539,7310831,active,20,44500,pending,6,maybe,20,8900,3,Eoin Kelly,Megan Campbell,Cobalt Consulting,Education,Database Administrator,fixed-term,Republic of Ireland,2024-12-28,,not applicable,4,pending,no
59379892,9952874,extended contract,37,37500,yes,7,maybe,20,7500,2,Marta Nowak,Daniel Hughes,Aster Cloud Systems,Education,Business Analyst,permanent,Northern Ireland,2024-06-11,2025-07-23,extended,8,pending,no
37114045,6368036,terminated,44,35500,yes,6,maybe,17,6035,3,Michael Turner,Sean O'Donnell,Aster Cloud Systems,Financial Services,Data Engineer,permanent,Wales,2025-10-01,2027-01-01,passed,6,paid,no
51001541,6354776,on probation,40,93000,yes,8,yes,12,11160,2,Oliver Green,Daniel Hughes,Redstone AI,Energy,Sales Engineer,contract,Republic of Ireland,2024-06-05,,not applicable,,pending,no
53186760,8973936,on probation,42,49000,yes,7,maybe,10,4900,3,Patrick Murphy,Sofia Garcia,GreenGrid Energy,Public Sector,Data Engineer,contract,Remote,2024-10-12,,passed,,pending,no
51275980,7386921,active,39,61500,yes,7,no,19,11685,2,Eoin Kelly,Amira Khan,Vertex Retail Solutions,Education,Solutions Architect,permanent,Wales,2025-11-11,,not applicable,7,paid,no
88654031,5268726,on probation,19,73500,yes,6,no,20,14700,2,Nadia Hussain,Adam Clarke,Pioneer Manufacturing,Telecommunications,Product Manager,permanent,Remote,2024-03-30,,failed,,paid,no
50071766,5483212,extended contract,15,30000,yes,8,yes,17,5100,1,Sanjay Rao,Daniel Hughes,Cedar Finance Group,Telecommunications,Cloud Engineer,permanent,Republic of Ireland,2025-11-04,2027-02-06,not applicable,8,partially paid,no
